"effect","term","estimate","std.error","statistic","df","p.value","best_shape_model","focal_terms","pfas_var","immune_var","n_obs","test_type","FDR_p"
"fixed","log_PFAS_scaled:DNA_sexM",0.0105975202563788,0.534582605345699,0.0198239152385546,108.3147408177,0.984220312051831,"log","log_PFAS_scaled","PFNA","log_clysis",110,"interaction",0.996458388374059
"fixed","log_PFAS_scaled:DNA_sexU",1.73001074115663,2.85352414459787,0.606271632371427,107.799520309348,0.545608970590002,"log","log_PFAS_scaled","PFNA","log_clysis",110,"interaction",0.996458388374059
"fixed","log_PFAS_scaled:age",-0.0148533945514143,0.0331084286101514,-0.448628798615349,73.9630166104773,0.655011074243708,"log","log_PFAS_scaled","PFNA","log_clysis",110,"interaction",0.996458388374059
"fixed","(Intercept)",1.27933824496839,1.51787330285427,0.842849164395128,70.99980138417,0.402143275444481,"log","log_PFAS_scaled","PFNS","log_clysis",110,"covariate",0.59456868746314
"fixed","log_PFAS_scaled",0.297060397359092,1.44269030892509,0.205907252250432,99.3331570196951,0.837284779155671,"log","log_PFAS_scaled","PFNS","log_clysis",110,"main_effect",0.963394758214043
"fixed","DNA_sexM",0.516053427548918,0.554765175417799,0.930219578329287,109.997063508093,0.354294429466116,"log","log_PFAS_scaled","PFNS","log_clysis",110,"covariate",0.573257407908194
"fixed","DNA_sexU",-32.6174161382621,146.745179881386,-0.222272487345933,108.092209942577,0.824521198652447,"log","log_PFAS_scaled","PFNS","log_clysis",110,"covariate",0.866925146011716
"fixed","age",-0.0854719787940048,0.0328650857620637,-2.60069240082938,73.8044690210971,0.011233277816841,"log","log_PFAS_scaled","PFNS","log_clysis",110,"covariate",0.033883985545881
"fixed","log_PFAS_scaled:DNA_sexM",0.128492425202833,0.584830217148624,0.219708936773661,107.190549800286,0.826515705907673,"log","log_PFAS_scaled","PFNS","log_clysis",110,"interaction",0.996458388374059
"fixed","log_PFAS_scaled:DNA_sexU",67.6856119986695,291.060763126261,0.232548046915234,108.091980385814,0.816552118709013,"log","log_PFAS_scaled","PFNS","log_clysis",110,"interaction",0.996458388374059
"fixed","log_PFAS_scaled:age",-0.0284046727532876,0.0365107715196596,-0.777980622458029,104.178459059848,0.438343726574886,"log","log_PFAS_scaled","PFNS","log_clysis",110,"interaction",0.996458388374059
"fixed","(Intercept)",2.28897130094802,1.34596194215949,1.70062111657893,62.7524589286536,0.0939654094134258,"log","log_PFAS_scaled","PFOA","log_clysis",110,"covariate",0.246994790458148
"fixed","log_PFAS_scaled",1.06284494670455,1.29942076207969,0.817937482392925,71.176239616064,0.416122715420858,"log","log_PFAS_scaled","PFOA","log_clysis",110,"main_effect",0.963394758214043
"fixed","DNA_sexM",0.263940161210566,0.524747772534589,0.502984814848677,107.887202921105,0.616000240238714,"log","log_PFAS_scaled","PFOA","log_clysis",110,"covariate",0.740810746430871
