"effect","term","estimate","std.error","statistic","df","p.value","pfas_var","immune_var","n_obs","test_type","FDR_p"
"fixed","PFAS_scaled:age",-0.0105088319620086,0.00438565244250112,-2.39618439896607,81.0018553708122,0.0188713727300067,"PFHXS","log_igy",110,"interaction",0.526073428679794
"fixed","(Intercept)",-1.66374522389958,0.308784523968148,-5.38804601512737,107.094108366332,4.26387884515752e-07,"PFNA","log_igy",110,"covariate",5.90383224714118e-06
"fixed","PFAS_scaled",0.294545775391851,0.343718854116941,0.856938081411269,109.897300284919,0.393343915211602,"PFNA","log_igy",110,"main_effect",0.927108013918596
"fixed","DNA_sex003-M",0.508037589829577,0.461890685207736,1.09990871455025,62.415697744898,0.275596147601858,"PFNA","log_igy",110,"covariate",0.442922380074414
"fixed","DNA_sexF",-0.425026094764581,0.144689021841079,-2.93751446624204,79.5528834055548,0.0043265242870221,"PFNA","log_igy",110,"covariate",0.0153910251333942
"fixed","DNA_sexM",-0.407326657459911,0.15326444604563,-2.65767219971317,91.737634992454,0.00928197085758405,"PFNA","log_igy",110,"covariate",0.027389422202707
"fixed","age",0.0171093493395978,0.00552519638796275,3.09660474275129,97.2320771911266,0.00255812140426023,"PFNA","log_igy",110,"covariate",0.0111136461724345
"fixed","PFAS_scaled:DNA_sexF",0.220531270556151,0.125454565766034,1.75785766910572,63.502119782812,0.0835907446798878,"PFNA","log_igy",110,"interaction",0.526073428679794
"fixed","PFAS_scaled:DNA_sexM",0.189097278631896,0.142591652028608,1.32614550670861,82.4268160638562,0.188454567344841,"PFNA","log_igy",110,"interaction",0.636460897638015
"fixed","PFAS_scaled:age",-0.00906083572672,0.00624427404273946,-1.45106311233337,109.38368097546,0.149624143027683,"PFNA","log_igy",110,"interaction",0.594748464905003
"fixed","(Intercept)",-1.69120673480612,0.33318584105245,-5.07586615764953,109.631393241698,1.5887998375943e-06,"PFNS","log_igy",110,"covariate",1.68225865157043e-05
"fixed","PFAS_scaled",1.68408339912809,1.00872619580216,1.66951488534396,92.5728943678782,0.0983937932766471,"PFNS","log_igy",110,"main_effect",0.843554218031632
"fixed","DNA_sex003-M",0.0869720150467973,0.317199401480341,0.274187197834885,53.6247280402009,0.784994237686966,"PFNS","log_igy",110,"covariate",0.851198570985866
"fixed","DNA_sexF",-0.575584915647158,0.211757436497423,-2.71813318657247,64.4693652464903,0.00842349853889637,"PFNS","log_igy",110,"covariate",0.0252704956166891
"fixed","DNA_sexM",-0.564128931789256,0.220420859551976,-2.55932643097343,71.1723222273671,0.0126136783311867,"PFNS","log_igy",110,"covariate",0.0338108003693202
"fixed","age",0.0205919143357795,0.00518363581257647,3.97248477329748,94.0800668646073,0.00013924064688666,"PFNS","log_igy",110,"covariate",0.00108970941041734
"fixed","PFAS_scaled:DNA_sexF",-1.57083265419436,0.989946087809228,-1.58678606192651,91.6565967574595,0.116005163540099,"PFNS","log_igy",110,"interaction",0.576163818783476
"fixed","PFAS_scaled:DNA_sexM",-1.56510701209716,0.990308709287747,-1.58042335427184,92.207160915248,0.117434371454976,"PFNS","log_igy",110,"interaction",0.576163818783476
"fixed","PFAS_scaled:age",-0.00439095991016392,0.00470798187926168,-0.932662873981266,106.148343462495,0.353110649971315,"PFNS","log_igy",110,"interaction",0.790932492670402
"fixed","(Intercept)",-1.95546613879133,0.291840144979152,-6.70047000878175,108.465025555426,9.61665501915753e-10,"PFOA","log_igy",110,"covariate",2.47285414778337e-08
"fixed","PFAS_scaled",-0.130690043182884,0.610254467351318,-0.214156634936434,66.0553355995102,0.831084623329667,"PFOA","log_igy",110,"main_effect",0.943688033044181
"fixed","DNA_sex003-M",0.687583704151945,0.678174701902825,1.01387400948859,60.9575743990414,0.314650356409052,"PFOA","log_igy",110,"covariate",0.481233583754843
"fixed","DNA_sexF",-0.299324168787821,0.135302208373425,-2.21226373454088,71.6873611524497,0.0301352271078074,"PFOA","log_igy",110,"covariate",0.0723245450587377
"fixed","DNA_sexM",-0.268820910871035,0.145091525141198,-1.8527678347128,87.7991161906464,0.0672752149275402,"PFOA","log_igy",110,"covariate",0.133071853702827
"fixed","age",0.020116245108146,0.00536027678702756,3.75283700961664,100.406080482169,0.000292955149842927,"PFOA","log_igy",110,"covariate",0.00181834230936989
"fixed","PFAS_scaled:DNA_sexF",0.415786580450322,0.440954204598939,0.942924630525959,62.2918971153005,0.349362246662012,"PFOA","log_igy",110,"interaction",0.790932492670402
"fixed","PFAS_scaled:DNA_sexM",0.491592135163947,0.440663537843702,1.1155725240383,70.1069756138662,0.2684144884973,"PFOA","log_igy",110,"interaction",0.75156056779244
"fixed","PFAS_scaled:age",-0.00677199276300123,0.00969654375683834,-0.698392430625128,72.6605277054508,0.48716105045211,"PFOA","log_igy",110,"interaction",0.85056599654775
"fixed","(Intercept)",-1.67861287836848,0.33915575016723,-4.94938646194497,99.6678211183718,3.03287560223096e-06,"PFOS","log_igy",110,"covariate",3.03287560223096e-05
"fixed","PFAS_scaled",0.67658400080642,0.514777343282473,1.3143235801564,96.4788056776332,0.191853492463774,"PFOS","log_igy",110,"main_effect",0.927108013918596
"fixed","DNA_sex003-M",0.0106467604543228,0.342297425653108,0.0311038285900298,67.4332346423463,0.975278613757102,"PFOS","log_igy",110,"covariate",0.98072709763284
"fixed","DNA_sexF",-0.46891502809663,0.231563522551438,-2.02499522778882,109.376580520818,0.0453035569363422,"PFOS","log_igy",110,"covariate",0.100245117257899
"fixed","DNA_sexM",-0.451359069935136,0.235648839978418,-1.91538846521151,108.387823636794,0.0580782142187441,"PFOS","log_igy",110,"covariate",0.117461556846898
"fixed","age",0.017489833043787,0.00495876628158321,3.52705331339046,89.3145246684255,0.000665816941242269,"PFOS","log_igy",110,"covariate",0.00323910944388131
"fixed","PFAS_scaled:DNA_sexF",-0.372026322739027,0.470281940158309,-0.791070825755702,94.2812342010523,0.430888212415586,"PFOS","log_igy",110,"interaction",0.839519250743447
"fixed","PFAS_scaled:DNA_sexM",-0.466605328714611,0.46813526609615,-0.996731847625373,94.1618662764175,0.321449208792803,"PFOS","log_igy",110,"interaction",0.790932492670402
"fixed","PFAS_scaled:age",-0.00951765001756696,0.00465566447563973,-2.04431613733487,105.023989862678,0.0434240350737728,"PFOS","log_igy",110,"interaction",0.526073428679794
"fixed","(Intercept)",-1.91884498162032,0.289941462605972,-6.61804270549609,106.639028779651,1.50520669740265e-09,"PFPES","log_igy",110,"covariate",3.38671506915595e-08
"fixed","PFAS_scaled",0.720941710754239,0.453285023312662,1.59048208891948,58.0251166093711,0.117160308059949,"PFPES","log_igy",110,"main_effect",0.843554218031632
"fixed","DNA_sex003-M",0.0986549293734402,0.321177355458047,0.307166516246899,56.8320400318722,0.759839375587276,"PFPES","log_igy",110,"covariate",0.842363754821432
"fixed","DNA_sexF",-0.344300818092382,0.133228582916414,-2.58428642379535,73.6708989514876,0.0117379464227212,"PFPES","log_igy",110,"covariate",0.0330129743139033
"fixed","DNA_sexM",-0.275101342292274,0.142638025208469,-1.92866763186189,90.2620615076232,0.0569146008857169,"PFPES","log_igy",110,"covariate",0.116416229084421
"fixed","age",0.0199226427507271,0.00527669756946449,3.77558927500727,95.0933124478988,0.000277891787215804,"PFPES","log_igy",110,"covariate",0.00178644720353017
"fixed","PFAS_scaled:DNA_sexF",-0.186782835307643,0.128301060889934,-1.45581676419557,61.3482907504915,0.150541951250996,"PFPES","log_igy",110,"interaction",0.594748464905003
"fixed","PFAS_scaled:age",-0.0144398204156512,0.00880205846055059,-1.64050494328891,57.1547817866194,0.106392888150719,"PFPES","log_igy",110,"interaction",0.576163818783476
"fixed","(Intercept)",-1.87148743902726,0.285755219033754,-6.5492677451543,105.458283367621,2.15966177162245e-09,"PFTEDA","log_igy",110,"covariate",4.3193235432449e-08
"fixed","PFAS_scaled",-0.077051720130135,0.452005898479619,-0.17046618282927,85.2675144203134,0.865047363623832,"PFTEDA","log_igy",110,"main_effect",0.943688033044181
"fixed","DNA_sex003-M",0.468907337127003,0.686406393397982,0.683133696942604,63.2781397168971,0.497016029020804,"PFTEDA","log_igy",110,"covariate",0.643382955507016
"fixed","DNA_sexF",-0.349845981123938,0.137307964325331,-2.54789285416124,79.1681055260667,0.0127729690284099,"PFTEDA","log_igy",110,"covariate",0.0338108003693202
"fixed","DNA_sexM",-0.346102039653855,0.146647127637229,-2.36010104821167,93.0038811334245,0.020359660612878,"PFTEDA","log_igy",110,"covariate",0.051616040990395
"fixed","age",0.0196035738941332,0.00511340627371818,3.83376028517261,92.3064838332222,0.000230336899885162,"PFTEDA","log_igy",110,"covariate",0.00153557933256775
"fixed","PFAS_scaled:DNA_sexF",0.232949883610767,0.394915349750184,0.589872953173702,67.7339138545789,0.557238534328104,"PFTEDA","log_igy",110,"interaction",0.881079687275394
"fixed","PFAS_scaled:DNA_sexM",0.13519795225802,0.396731615247487,0.340779375935749,69.6634727555863,0.734295277891315,"PFTEDA","log_igy",110,"interaction",0.896640365851876
