bird_id,igy,clysis,PCR_avmal,DNA_sex,field_id,lat,long,date,year,nest_name,county,nest_no,fws,field_sex,blood_vol,feathers,weight_kg,culman_mm,hallux_mm,bill_mm,primary_mm,foot_mm,Crop,Notes,age,FOV,RBC_per_FOV,L,H,E,M,B,Total_count,H_L,Lperc,Hperc,Eperc,Mperc,Bperc,wslh_specimen_id,FTSA8_2,FOSA,N_ETFOSAA,N_MEFOSAA,PFBA,PFDA,PFDOA,PFDS,PFHPA,PFHPS,PFHXA,PFHXS,PFNA,PFNS,PFOA,PFOS,PFTEDA,PFTRDA,PFUNDA,TOTAL_PFAS
AS106-001,0.318,0.18966667,N,F,BAEA-AS106-2023-L-001,46.99135,-90.68461,6/13/23,2023,Otter Island SE,ASHLAND,AS-106,0709-05617,F,12,Y,3.76,46.8,38.5,33.3,160,145,0,,42.3,,,,,,,,,,,,,,,23CR000959,0,0,0,0,0.076,37.3,7.93,0.55,0.07,0.939,0,0.977,97.9,0.094,2.75,123,2.13,12.5,49.1,335.316
AS106-002,0.367,0.328,N,U,BAEA-AS106-2023-L-002,46.99135,-90.68461,6/13/23,2023,Otter Island SE,ASHLAND,AS-106,0709-05618,M,12,Y,3.46,42.7,34.3,31.2,187,140,0,,46.1,30,300,83,65,9,2,25,184,0.78313253,0.83,0.65,0.09,0.02,0.25,23CR000960,0,0,0,0,0.105,39.6,9.1,0.678,0.074,1.4,0,1.25,110,0.109,2.89,140,2.47,14.9,52.8,375.376
AS108-001,0.332,0.14933333,N,F,BAEA-AS108-2023-L-001,46.84913,-90.75812,6/12/23,2023,Basswood Island,ASHLAND,AS-108,0709-05678,M,12,Y,4.16,59.4,37.4,33.3,205,135,0.25,,48.6,45,220,51,48,17,1,5,122,0.941176471,0.51,0.48,0.17,0.01,0.05,,,,,,,,,,,,,,,,,,,,,
AS108-002,0.391,0.17633333,N,F,BAEA-AS108-2023-L-002,46.84913,-90.75812,6/12/23,2023,Basswood Island,ASHLAND,AS-108,0709-05614,M,12,Y,3.37,53.1,34.3,33.3,200,125,0.25,,47.9,20,500,34,97,19,0,24,174,2.852941176,0.34,0.97,0.19,0,0.24,23CR000962,0,0,0,0,0,15.5,5.2,0.537,0,0.697,0,0.52,40.7,0.083,0.787,79.2,1.53,9.97,22.7,177.424
AS20-001,0.275,0.13333333,N,M,BAEA-AS20-2023-L-001,46.89504,-90.45067,6/13/23,2023,Michigan Island,ASHLAND,AS-20f,0709-05615,M,12,Y,2.99,39.6,32.2,29.2,97,134,0,,33.5,50,200,34,50,23,2,3,112,1.470588235,0.34,0.5,0.23,0.02,0.03,23CR000956,0,0,0,0,0.231,34.3,8.79,1.29,0.063,1.88,0,1.74,90,0.142,2.56,176,2.43,13.5,49.2,382.126
AS20-002,0.218,0.086,N,F,BAEA-AS20-2023-L-002,46.89504,-90.45067,6/13/23,2023,Michigan Island,ASHLAND,AS-20f,0709-05616,F,12,Y,3.94,47,33.5,32.4,109,145,0.5,,35.2,,,,,,,,,,,,,,,23CR000957,0,0,0,0,0.18,33.3,8.99,1.24,0.06,2.14,0,1.45,87.7,0.147,1.68,188,2.64,15.4,49.4,392.327
AS28-001,0.35575,0.0769,,M,BAEA-AS28-2024-E-001,46.72893,-90.78741,6/14/24,2024,Long Island,ASHLAND,AS-28c,0829-04159,M,9,Y,3.63,46.7,35.7,30.7,279,125,0,,59,,,,,,,,,,,,,,,,0,0.089,0,0,0,13.1,4.14,0.573,0,0.743,0,0.785,42.2,0.044,0.788,86.9,0.902,8.07,20.1,178.498
AS28-002,0.368,0.0047,,M,BAEA-AS28-2024-E-002,46.72893,-90.78741,6/14/24,2024,Long Island,ASHLAND,AS-28c,0829-04160,M,12,Y,3.64,44.6,34.6,30.7,237,131,0,,53.1,,,,,,,,,,,,,,,,0,0.126,0,0,0.041,12.3,3.2,0.465,0,0.526,0,0.5,33,0.031,1.05,68.9,0.838,6.67,16.3,143.947
AS28-003,0.31155,0.0358,,F,BAEA-AS28-2024-E-003,46.72893,-90.78741,6/14/24,2024,Long Island,ASHLAND,AS-28c,0829-04167,F,12,Y,4.52,34.9,37.7,30.2,281,141,0,,59.2,,,,,,,,,,,,,,,,0,0.128,0,0,0.058,14.8,4.42,0.665,0,0.721,0,0.733,43.6,0.05,0.689,79.5,1.02,10,21.6,177.984
AS71-001,0.3692,0.027,,F,BAEA-AS71-2024-E-001,47.00765,-90.77066,6/14/24,2024,Bear Island,ASHLAND,AS-71a,0829-04168,M,12,Y,4.55,47.1,37.4,31.8,228,143,0,,51.8,,,,,,,,,,,,,,,,0,0.092,0,0,0.232,60.8,19.1,1.27,0.229,1.35,0,1.44,145,0.124,2.57,175,3.1,32.9,93.7,536.907
AS71-002,0.45415,0.0471,,M,BAEA-AS71-2024-E-002,47.00765,-90.77066,6/14/24,2024,Bear Island,ASHLAND,AS-71a,0829-04169,F,12,Y,3.35,41.6,32,28.8,200,127,0,,47.9,,,,,,,,,,,,,,,,0,0.087,0,0,0.247,61,18.1,1.24,0.334,1.33,0,1.46,149,0.12,5.8,171,3.49,34.1,97.3,544.701
AS71-001,0.303,0.002,N,F,BAEA-AS71-2023-L-001,47.00765,-90.77066,6/12/23,2023,Bear Island,ASHLAND,AS-71a,0709-05677,M,12,Y,4.35,58.3,35,31.2,227,132,0.25,,51.7,25,400,28,65,15,0,8,116,2.321428571,0.28,0.65,0.15,0,0.08,23CR000958,0,0,0,0,0.098,43.8,12.4,0.938,0.078,1.29,0,1.21,106,0.136,3.12,148,2.66,20.2,60.8,400.73
AS90-001,0.4025,0.04025,,M,BAEA-AS90-2024-M-001,46.96597,-90.66873,6/12/24,2024,Manitou Island,ASHLAND,AS-90a,0709-05691,M,12,Y,3.91,43.8,32.8,30.8,204,136,0,,48.5,,,,,,,,,,,,,,,,0,0.124,0,0,0.232,43.8,9.15,1.32,1.56,2.08,0,2.58,131,0.115,29.3,149,2.15,22.5,61.2,456.138
