bird_id,igy,clysis,PCR_avmal,DNA_sex,field_id,lat,long,date,year,nest_name,county,nest_no,fws,field_sex,blood_vol,feathers,weight_kg,culman_mm,hallux_mm,bill_mm,primary_mm,foot_mm,Crop,Notes,age,FOV,RBC_per_FOV,L,H,E,M,B,Total_count,H_L,Lperc,Hperc,Eperc,Mperc,Bperc,wslh_specimen_id,FTSA10_2,PF3OUDS11CL,FTSA4_2,DIPAP6_2,FTSA6_2,DIPAP8_2,FTSA8_2,CL_9PF3ONS,DONA,FOSA,N_ETFOSA,N_ETFOSAA,N_ETFOSE,N_MEFOSA,N_MEFOSAA,N_MEFOSE,PFBA,PFBS,PFDA,PFDOA,PFDS,PFHPA,PFHPS,PFHXA,PFHXDA,PFHXS,PFMBA,PFMPA,PFNA,PFNS,PFOA,PFODA,PFOS,PFPEA,PFPES,PFTEDA,PFTRDA,PFUNDA,PFEESA,PFDoS,ADONA,HFPO-DA,NFDHA,3:3FTCA,5:3FTCA,6:2FTS,7:3FTCA,TOTAL_PFAS,PCA_score,Q_residual
BY47-001-002,0.2349,0,,F,BAEA-BY47-2024-M-002,46.882701,-91.07783,6/10/24,2024,Spirit Bay,BAYFIELD,BY-47a,0709-05687,F,12,Y,4.61,48.2,36.9,33.4,205,154,0,,48.6,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.131,0,0,0,0,0,0,0.098,0,54.7,15.6,0.922,0,1.57,0,0,1.58,0,0,145,0.133,1.98,0,179,0,0,2.51,22.6,76.1,,,,,,,,,,501.924,5.759635975,10.73463014
BY47-001,0.211,0.15333333,N,F,BAEA-BY47-2023-M-001,46.88074,-91.08982,6/13/23,2023,Spirit Point Road,BAYFIELD,BY-47b,0709-05629,F,12,Y,4.11,46.4,37.5,33.6,228,152,0.25,,51.8,33,300,26,64,7,4,18,119,2.461538462,0.26,0.64,0.07,0.04,0.18,23CR000964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148,0,27.4,5.81,0.629,0.035,1.02,0,0,0.888,0,0,74,0.09,1.72,0,120,0,0,1.82,11.1,38,,,,,,,,,,282.66,2.208347493,1.998779064
BY48-001,0.37955,0.0296,,F,BAEA-BY48-2024-M-001,46.696978,-90.852728,6/10/24,2024,Houghton Point,BAYFIELD,BY-48a,0709-05688,F,12,Y,4.93,46.7,37.2,34.6,235,142,Full,,52.8,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.066,0,0,0,0,0,0,0.115,0,13.9,4.33,0.7,0,0.943,0,0,0.668,0,0,29.8,0.072,0.275,0,74.5,0,0,1.12,10.4,18.6,,,,,,,,,,155.489,1.610380175,1.371373261
BY94-001,0.418,0.08433333,N,F,BAEA-BY94-2023-L-001,46.86861,-90.7735,6/14/23,2023,Red Cliff (N),BAYFIELD,BY-94,0709-05619,F,12,Y,4.43,50,27.1,34.3,226,143,0,,51.5,,,,,,,,,,,,,,,23CR000965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0,17,3.96,0.575,0,0.938,0,0,0.712,0,0,49.7,0.088,0.325,0,107,0,0,1.09,7.1,23.7,,,,,,,,,,212.256,1.636946475,1.185626807
BY94-002,0.39,0.04966667,N,,BAEA-BY94-2023-L-002,46.86861,-90.7735,6/14/23,2023,Red Cliff (N),BAYFIELD,BY-94,0709-05620,M,12,Y,3.61,46.8,34.3,31.2,247,130,0,,54.5,30,300,42,19,0,2,,63,0.452380952,0.42,0.19,0,0.02,0,23CR000966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173,0,19.2,4,0.796,0,1.04,0,0,0.831,0,0,42,0.106,0.197,0,161,0,0,1.42,7.67,27.2,,,,,,,,,,265.633,1.2910097,1.632249014
BY97-001,0.528,0.18233333,N,M,BAEA-BY97-2023-S-001,46.76004,-90.87802,6/13/23,2023,Mt. Ashwabay,BAYFIELD,BY-97,0709-05627,F,12,Y,4.17,56.1,35.4,37.3,235,142,1,,52.8,50,200,59,22,3,1,1,86,0.372881356,0.59,0.22,0.03,0.01,0.01,23CR000967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.83,1.81,0.751,0,0.697,0,0,0.451,0,0,14.4,0.072,0.249,0,60.2,0,0,0.719,4.05,6.74,,,,,,,,,,95.969,2.478788846,1.346293149
BY97-002,0.36,0.127,N,F,BAEA-BY97-2023-E-002,46.76004,-90.87802,6/13/23,2023,Mt. Ashwabay,BAYFIELD,BY-97,0709-05628,F,12,Y,4.87,49.2,37.6,37.9,207,157,0.75,,48.9,,,,,,,,,,,,,,,23CR000968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112,0,4.81,1.52,0.74,0,0.483,0,0,0.327,0,0,9.72,0.064,0.198,0,42.5,0,0,0.649,3.26,5.66,,,,,,,,,,70.043,2.566020062,1.710525767
BY100-001,0.21915,0.07645,,F,BAEA-BY100-2024-M-001,46.8195,-90.80685,6/10/24,2024,Dalrymple Park,BAYFIELD,BY100a,0709-05689,F,12,Y,5.2,48.7,38.7,33.2,234,151,2-Jan,,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.143381317,2.284945215
BY100-002,0.26455,0.085,,M,BAEA-BY100-2024-M-002,46.8195,-90.80685,6/10/24,2024,Dalrymple Park,BAYFIELD,BY100a,0709-05690,M,12,Y,4.01,46.5,35.3,31.1,240,130,4-Jan,,53.5,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.076,0,0,0,0,0,0,0.066,0,15.4,5.53,0.358,0,1.2,0,0,0.992,0,0,54.3,0.018,0.927,0,96.9,0,0,1.27,9.75,24,,,,,,,,,,210.787,2.493611889,2.718106487
DO05-001,0.2236,0.0568,,M,BAEA-DO05-2024-L-001,44.86636,-87.23624,5/14/24,2024,Dunes Lake,DOOR,DO-05,0709-05635,M,12,Y,3.36,41.4,32.7,27.6,155,134,Full,,41.6,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.3,11.2,0.971,0,1.7,0,0,1.05,0,0,23.2,0.118,0.481,0,256,0,0,2.22,17.9,24.3,,,,,,,,,,368.44,1.693642403,6.503012076
DO05-002,0.65315,0.00265,,F,BAEA-DO05-2024-L-002,44.86636,-87.23624,5/14/24,2024,Dunes Lake,DOOR,DO-05,0709-05679,F,12,Y,4.23,48.3,36.4,31.1,195,143,4-Jan,,47.2,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,6.84,0.901,0,1.92,0,0,1.46,0,0,27.3,0.096,0.66,0,244,0,0,1.62,10.8,26.3,,,,,,,,,,350.197,1.293377477,3.519941083
BR10-001,,,,,BAEA-BR10-2024-S-001,45.410761,-86.812701,6/4/24,2024,Rock Island,DOOR,DO-10a,0709-05698,M,9,Y,4.18,36.1,35.7,32.1,290,139,Full,,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR10-002,,,,,BAEA-BR10-2024-S-002,45.410761,-86.812701,6/4/24,2024,Rock Island,DOOR,DO-10a,0709-05699,F,12,Y,3.86,46.7,36.1,35.5,281,145,Full,,59.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
